Author,issueTitle,issueBody,issueComments
Dominik Traczyk,single line text fields,solution for 4126]( ive used text formatter to force single line behavior hope its enough :) particular fields that should contain only one line are stored in immutable set// 7 tests have failed but they also had failed before on master:> mrdlibimportertest testimportdatabaseishtmlsetcorrectly()> mrdlibimportertest testimportdatabaseistitlesetcorrectly()> mrdlibimportertest testimportdatabaseisyearsetcorrectly()> xmputilreadertest testreadarticledublincorereadrawxmp> xmputilreadertest testreadarticledublincorereadxmp> xmputilwritertest testwritemultiplebibentries> xmputilwritertest testwritexmp,|| cant we just change the underlying gui component from textarea to textfield?also please use plain java for making fields immutable or final  not comgooglecommoncollectimmutableset if possible || @stefan-kolb how about now?ive added editortextfield class similar to editortextarea and extracted addtocontextmenu to interface (contextmenuaddable) also i had to change parameter type textarea to textinputcontrol in few places in order to use classes in generic way || that looks good so far for me! havent tested it yet but codewise it looks good (although the final in front of method parameter is suerpfllous || i use finals to avoid stupid bugs like reassigning variable with them my ide automatically underlines such stuff another thing is that ive decided to make code more readable so ive put new lines between simpleeditor constructor parameters (because there was one long line) and now codacy yells about that should i extract those parameters to another class like simpleeditorparameters or sth? || ping 
Tobias Diez, added special fields printed and read status 6357: file directory 3805: dash correctly terminates commands in layout files add option to display entry preview as tab in entry editor add option to display entry preview as tab in entry editor fix missing file extension for downloaded files 5862," ""added special fields printed and read status thereby implementing (at least partially):- feature #762 printed attribute- feature #692 marking of new entries and often read entries- feature #685 highlight new entries that were """"forgotten""""- feature #602 could add the mark as read feature- feature #225 read? checkboxprinted is just a boolean toggle and for the read field currently the values skimmed and read are possible (if you have any suggestions for further possibilities im happy to implement them) the icons are taken from  and should probably be replaced with icons from the same collection as the other currently used ones"" ""bug was introduced in  sorry @calixtus for suspecting you 👼also a bit of code cleanup is included for example i tried to minimize using strings and favored `path`s instead   link issues that are fixed eg """"333"""" link it eg """"fixes  title of the pr must not reference an issue because github does not support autolinking there--><!-- - go through the list below if a task has been completed mark it done by using ``- please dont remove any items just leave them unchecked if they are not applicable-->-  change in changelogmd described (if applicable)-  -  -   (for ui changes)-  [](  if not created an issue at < or even better submitted a pull request to the documentation repository""         ( (      because github does not support autolinking there -->3805 now commands terminated by a hyphen (like `\edition-`) work correctlyway back in 2011 morten added the extra check for hyphens (commit 392bc7a6dd215eb23766378aa90e3995d0847bb7) however im not aware of any field that has a dash in it so im not sure what was the reason for the change (i couldnt find an old bug report)also refactored a bit the layout tests-----  change in changelogmd described-  -  manually tested changed features in running jabref-   ()-  (   ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?) adds the entry preview as a tab 5244 also fixes #5446 plus a bit of refactoring( describe the changes you have made here:        ( (      because github does not support autolinking there -->-----  change in changelogmd described-  -  manually tested changed features in running jabref-   ()-  (   ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?) adds the entry preview as a tab 5244 also fixes #5446 plus a bit of refactoring( describe the changes you have made here:        ( (      because github does not support autolinking there -->-----  change in changelogmd described-  -  manually tested changed features in running jabref-   ()-  (   ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?) 5816 by falling back to pdf as default file type    #333 : 47]( title of the pr must not reference an issue because github does not support autolinking there--><!-- - all items with `` are still a todo-  `` - remove items not applicable-->-  change in changelogmd described (if applicable)-  -  -   ()-  [](   <https://githubcom/jabref/user-documentation/issues> it was indeed the throttler (at least it is working now for me)    #333 : 47]( title of the pr must not reference an issue because github does not support autolinking there--><!-- - all items with `` are still a todo-  `` - remove items not applicable-->-  change in changelogmd described (if applicable)-  -  -   ()-  [](   <https://githubcom/jabref/user-documentation/issues>", || this feature is availale on jabref 210?what should i do to get them? || no it is not in 210 but in the current development version so you have to wait until 211 comes out or build the current version yourself how to do the latter is described here:  || thank you very muchim could not install gradle on my laptop (ubuntu 1404)looking forward to the 211 release || > sorry @calixtus for suspecting you 👼forgiven and forgotten you owe me one 😉  || thanks for the quick reviews!     
Ali,,,
Patrick Scheibe,consistent fx color scheme for jabref,the pr aims to make the look and feel of jabref more consistent by providing a well-chosen set of base colors and deriving other colors from it at the moment i used a flat and bright scheme with the original jabref blue as the theme color![scrshot]( addition to the changes in the fx css files i provide an additional true type font for the application icons that are not available in the material design icon set it can be loaded and used in exactly the same way as the material design icons and only small changes to the code where necessary as soon as we agreed on using this i can make further adjustments and additions (currently wined is missing) to the icons so that they fit perfectly into our toolbar the one-colored icons should represent the original icon as much as possible and should be recognizable the will look like this![i1]( ![i2]( ![i3]( ![i4]( those who would like to help to work on this:our base style is `modenacss` and to make our restyling easy to use and to understand we should try to redefine the color variables of `modenacss` as much as possible instead of explicitly introducing and using our own variables this means dont use explicit color settings in the definition of styles for a control if it is a commonly used property eg the border color try to find and overwrite the appropriate modena-variable if you indeed need a specific color then re-use the ones defined at the top of `maincss`remember that this is unfinished at the moment and i have rather commented out lines than simply deleting it-----  change in changelogmd described-  -  manually tested changed features in running jabref-   ()-  (   ( [helpjabreforg](https://githubcom/jabref/helpjabreforg/issues)?),|| i played around with the ui a little and i like it i like the fact that the menu and tool bars are a little less color-intense than in the current maintable-betayou have my +1 for continuing with this line of work || i made further improvements to the custom icons and they look at least acceptable now if put on the toolbar:![toolbar]( more information on this view issue  i pulled the latest changes from maintable-beta im giving this free for review now note that there are still a lot of commented lines in the code to easily see what i have adjusted once we agree on something ill clean everything up || ive now merged this pr we can fine-tune the design later and ill provide a proposal for a dark theme in a new pr
Benedikt Tutzer,,,
hrandrianasolo,,,
Jonathan Campbell,fix import into current library issuing wrong message,"this change 6266 in which an erroneous message ""import canceled"" is displayed when importing into the current library this fix was accomplished by modifying the parameter of the extends clause of the importentriesdialog class to have a return type of boolean rather than void and making setresultconverter return false rather than null   link issues that are fixed eg ""fixes #333"" link it eg ""fixes  title of the pr must not reference an issue because github does not support autolinking there--><!-- - go through the list below if a task has been completed mark it done by using ``- please dont remove any items just leave them unchecked if they are not applicable-->-  change in changelogmd described (if applicable)-  -  -   (for ui changes)-  [](  if not created an issue at < or even better submitted a pull request to the documentation repository",|| welcome to jabref and thanks for your contribution! can you please describe how your changes 6266? i couldnt find the place where the return value of the dialog was used || hello since this issue is a duplicate of #4841 i followed the comments on that issue and implemented [your possible solution]( which resolved the issue to be honest i do not know exactly how this fixed the issue || i have pushed a commit fixing the indentation and fixing the problem in the findunlinkedfilesdialog || thanks again for your contribution!  we hope you are interested in contributing further ) || youre welcome! this was fun i hope to contribute further as well
AtrusRiven,,,
Caleb Tillman,,,
Benjamin Schroth,,,
Gennadiy, ris import takes the wrong date and duplicates abstract," ""6065 1 fixed an issue with """"duplicate values in abstract field2 checked code and couldnt reproduce second error: """"publication date is taken from the y2 field not from the correct y1""""see lines 207-220 of `risimporterjava` it works fine and importing publication date as expected tested on file from @crystalfp (see file attached to issue)kind regardsgennadiy-  change in changelogmd described (if applicable)-  -  -   (for ui changes)-  [](  if not created an issue at < or even better submitted a pull request to the documentation repository""", || ok will do || thanks!
Lugduni Desrosiers,update open openofficepanel to show buttons in three rows of three,changed open office panel to show buttons in rows of three instead of going straight down to save space as the button expanded out to take up unnecessary horizontal space,|| i am not familiar with a change log entry would you help me accomplish that please? || we have a `changelogmd` file listing all the relevant changes just add a sentence there and commit these changes:  || should i create a pull request for that too or no? || you can make the changes locally and then push them to your branch `ddunig2:fix-for-issue-5479` which updates this pr automatically no separate pr is necessary || @ddunig2 you can just work on your branch - a pull request collects all commits belonging to a branch as soon as you pushed something it will appear hear || @ddunig2 did you already had the chance to add the changelog entry? it would be nice if you could do this so that we can merge your first pull request to jabref thanks! || i thought i did i will double check || i remember doing this although im not sure if i did it correctly i redid it and these are the steps i took this time i went on my fork and went on the branch i did my work on looked for the changelog file and add the change to the ##change section i hope this is the right approach || thanks! you did it perfectly and everything is well now so im going to merge looking forward to your next contribution 
Toromtomtom,,,
Mohit,,,
Oliver Kopp," fix gui tests ""include """"append"""" functionality in the """"import entries dialog""""""", 5602 refs #2768wanted to know why our gui tests are broken the reason seems to be that we dont pass the preferences objects directly around but use `globalsprefs` at more places currently the issue is in `maintablejava`:```java        importhandler  new importhandler(                framegetdialogservice() database externalfiletypes                globalsprefsgetfilepreferences()                globalsprefsgetimportformatpreferences()                globalsprefsgetupdatefieldpreferences()                globalsgetfileupdatemonitor()                undomanager                globalsstatemanager)```i would propose to convert the constructor of `maintable` (and `basepanel`) to a builder pattern (because we have more than three arguments) and add passing of these preferencesalternatively we can mock `globalsprefsgetfilepreferences()` etc this is also ok for me as i accept global objects however we had a long discussion that we should get rid off `globals`is  the right issue where we discussed `globalsprefs`? i think the comment at  summarizes the discussion needs testing @stefan-kolb maybe? 😇 6049co-authored-by: christoph <siedlerkiller@gmailcom>co-authored-by: tobias diez <tobiasdiez@gmxde>co-authored-by: carl christian snethlage <50491877+calixtus@usersnoreplygithubcom>," "" || +1 for extracting `globalsprefs` and mocking the relevant data i dont think a builder pattern is necessary as the relevant classes are rarely initialized and all arguments need to be present anyway   || im not sure whether we should continue with it like that should we tryother solutions such as eclipse jubula - which are independent from theconcrete code i see that separate preferences for model and logic makessense for gui it is *much* effort is it really worth the effort? do weneed these kinds of tests? would it make more sense to do black box testing?maybe we should let this task (enable testing by testfx) be done bystudents in a training next year? seems to be much more work than expectedi wanted to come up with a quick solution to get it running to have ourtobias diez <notifications@githubcom> schrieb am do 26 dez 2019 09:45:> *@tobiasdiez* commented on this pull request> ------------------------------>> in src/main/java/org/jabref/gui/basepaneljava> < > @@ -1458 +1548 @@>      private optional<databasechangemonitor> changemonitor  optionalempty()>      private jabrefexecutorservice executorservice>> -    public basepanel(jabrefframe frame basepanelpreferences preferences bibdatabasecontext bibdatabasecontext externalfiletypes externalfiletypes) {> -        thispreferences  objectsrequirenonnull(preferences)> +    public basepanel(jabrefframe frame basepanelpreferences basepanelpreferences bibdatabasecontext bibdatabasecontext externalfiletypes externalfiletypes groupviewmode groupviewmode filepreferences filepreferences importformatpreferences importformatpreferences updatefieldpreferences updatefieldpreferences fileupdatemonitor fileupdatemonitor statemanager statemanager consumer<columnpreferences> updatecolumnpreferences supplier<timestamppreferences> timestamppreferencessupplier) {>> i think its better to pass a preferenceservice if you need to store> preference options (or get the current preferences at a later moment)>> —> you are receiving this because you authored the thread> reply to this email directly view it on github> < or unsubscribe> < > || i think gui tests would be nice to have its a good idea to let students extend the code coverage in a forthcoming project (similarly to what we did with the fetcher test suite) however we should provide a few basic tests that serve as an orientation with mvvm there shouldnt be any need for ui tests in the traditional sense (testfx or jubala or whatever) as one can simply write unit tests for the view model classes moreover the current gui tests dont add much value in my opinion for me it would be fine to remove all gui tests that we have currently || the whole """"mess"""" is only for the basepaneltest - to fix the other tests was easy i removed all the """"improvements"""" and made only cosmetic changes"" "
Apurva Churi,,,
Jiayu Zhang,,,
Simon Harrer,,,
Oscar Gustafsson, added pushing citations to texmaker, implements sourceforge feature requests #318 and #582, || looks good minor comments above the abstract class `abstractpushtoapplication` could be left as future work :smiley: || thanksi agree there are changes to the other pushtoxxx classes in the formbuilder pull request so i would prefer to base the `abstractpushtoapplication` on the unified source :-) (especially with my still improvable git wizardry) || ok i let this go through we will work on  and possibly finally with another pr
Michael Mauersberger,,,
Carl Christian Snethlage, added update method to typepropertylisteners fixed loosing group if the most bottom one in list is dragged on itself fix for multiple error messages in messed up source editor conversion of group dialog to mvvm-pattern added menubuttons to integritycheckdialog refactored subtile changes to optics of library properties actionhelper to test for present file, 5905 -  change in changelogmd described (if applicable)-  -  -   ()-  [](   <https://githubcom/jabref/user-documentation/issues> 5968 -  change in changelogmd described (if applicable)-  -  -   ()-  [](   <https://githubcom/jabref/user-documentation/issues> 5820jabref created a new instance of codearea everytime an entry was selected and bound multiple listeners to the codearea and to the validationstatus in bindtoentry refactored it a little bit so the codearea stays persistent and the error messages are only displayed oncedid some minor refactorings to the other validators and to modulesinfo too to avoid warning messages from the ide and fixed a minor mistake from a previous pr in darkcss no screenshot as there is no visual change-  change in changelogmd described (if applicable)-  -  -   ()-  [](   <https://githubcom/jabref/user-documentation/issues> a first approach to convert the add/edit group dialog to the mvvm-pattern and a step forwards to implement the changes @martinkarim supposed in #4684 still some problems and things to talk aboutthe most obvious one is: groupdescription i really dont know what to do with this personally i think this description stuff shuld go into the help page its a wild mesh-up of error messages validation messages for the regex and some hints about the groupthe next thing are the different group types @martinkarim supposed to merge most of them as they mostly intersect each other but if we do this we need to provide migrations for the old groups too this would probably go far beyond this prscreenshot belowthe old labels of the checkboxes a displayed as a tooltip now but they should be better placed in the help pagei have some problems with the validators somehow if i bind the disableproperty of the ok button to validproperty of the validator java throws a npe if i dont get this working i need to think about a workaroundi need to stop procrastinating now and get back to studying-  change in changelogmd described (if applicable)-  -  -   ()-  [](   <https://githubcom/jabref/user-documentation/issues> this pr adds menubuttons to the integritycheckdialog because there was a complaint that the filters were not very easy to find 5275 i did not implement the option to make the current filters in the table persistent as the use case for this is extremly limited (sorry) controlsfx does not support this and the workaround would be hugei dont think that documentation is necessary for this as it should be very obvious to understand![integrity_without_panel](  change in changelogmd described (if applicable)-  -  -   ()-  [](   <https://githubcom/jabref/user-documentation/issues> 5604 some subtile changes (added a scrollpane) to the library properties dialog (and to saveorderconfigdisplay and to fieldformattercleanupspanel) fieldformattercleanupspanel needs to be refactored in the future to mvvm-pattern but this pr is just a quick fix for the issue so the library properties are somewhat usable on scaled displays![librarypropsup](  change in changelogmd described (if applicable)-  -  -   ()-  [](   <https://githubcom/jabref/user-documentation/issues> this pr fixes koppor#430it took a little bit more refactoring than expected for it does not only check if standardfieldfile has text inside but if the file is also really present in the file system there are some design decisions im unsure of:there is no alert about that no file is really present the menu entry is just disabled although there is a file symbol in the main table (since standardfieldfile is not empty)feedback could be implemented in the files editor in the entry editor as validationthe other thing is that in theory at last the table does not yet automatically update if a file is added or removed (so no file is attached) this would require  probably an array of observables to be used as an invalidation alert im unsure where to start with that however only in theory pracitcally the entry is unselected automatically if i change something about the attached files in the entry editor so nobody would notice if this would not be implemented-  change in changelogmd described (if applicable)-  -  -   ()-  [](   <https://githubcom/jabref/user-documentation/issues>,"   || thanks for the fix i dont know exactly what  but i remember we had issues with the code area when going up and down in the main table with an open entry editor and also when importing? i know that there was a reason why it was created new every time maybe @tobiasdiez remembers || this should do the trick now apparently javafx fires the focus event after loading the next entry and registering a listener does not mean it is also runwhat i dont understand is the failing gui test it fails somehow during setting the test up trying to call getsourcestring with an empty bibentryit does not fail with a real entry open in jabref but only with the test should i modify the test? || the new fix looks good to!i guess the test fails as `currententry` is null in  can change  to `notifyaboutfocus` "" || 👍 for removing the description i like how the dialog looks in your screenshot nicely done!(i would maybe left-align the options """"case sensitve"""" and """"regular expression"""") || so i got no other opinions descriptions are gone![group dialog]( #5833 but this pr does only change the groups dialog it does not fix the issue mentioned || looks good so far! || the constructors are gone and the whole globals-stuff in this part probably too as i made same bigger changes i would appreciate it if you could just take a quick look at the latest commit and the changes to the optics again expecially the enummap is this ok this way? i really did not like the gettext-method<img width""""450"""" alt""""group"""" src"""" || merging then"" || looks good!  || i added some validation the regular validation mechanics of controlsfx seem somewhat broken the icon is shown but behind every other ui element so instead i just marked the background of the cells with files that do not exist in the filesystem in the warning color( this one is mergable"
